encoder,op,level,dist_h0,dist_h1,topo_dist,TSI,tau_scale
sparse,occlusion,0.0,0.0,0.0,0.0,1.0,6.11417293548584
sparse,occlusion,0.25,1.4820709228515625,1.0512418746948242,2.5333127975463867,0.6607798821904343,6.11417293548584
sparse,occlusion,0.5,3.215972900390625,2.2664413452148438,5.482414245605469,0.40792453914968974,6.11417293548584
sparse,occlusion,0.75,10.358051300048828,4.459897994995117,14.817949295043945,0.08860729551875748,6.11417293548584
sparse,occlusion,1.0,23.434316635131836,4.513889312744141,27.948205947875977,0.010347062911953276,6.11417293548584
temporal,clean,0.0,0.0,0.0,0.0,1.0,5.974236488342285
temporal,clean,0.25,0.0,0.0,0.0,1.0,5.974236488342285
temporal,clean,0.5,0.0,0.0,0.0,1.0,5.974236488342285
temporal,clean,0.75,0.0,0.0,0.0,1.0,5.974236488342285
temporal,clean,1.0,0.0,0.0,0.0,1.0,5.974236488342285
temporal,noise,0.0,0.0,0.0,0.0,1.0,5.974236488342285
temporal,noise,0.25,2.400157928466797,1.9101104736328125,4.310268402099609,0.4860343267745529,5.974236488342285
temporal,noise,0.5,5.825654983520508,1.8377723693847656,7.663427352905273,0.27727488544521195,5.974236488342285
temporal,noise,0.75,7.208822250366211,2.382211685180664,9.591033935546875,0.20080939407142637,5.974236488342285
temporal,noise,1.0,12.7054443359375,2.498867988586426,15.204312324523926,0.07847462216122165,5.974236488342285
temporal,blur,0.0,0.0,0.0,0.0,1.0,5.974236488342285
temporal,blur,0.25,0.6594429016113281,0.5108718872070312,1.1703147888183594,0.8220996882412762,5.974236488342285
temporal,blur,0.5,0.8977184295654297,1.0423622131347656,1.9400806427001953,0.7227143780339955,5.974236488342285
temporal,blur,0.75,1.0419731140136719,1.1384100914001465,2.1803832054138184,0.694221414687151,5.974236488342285
temporal,blur,1.0,1.0243873596191406,1.0031375885009766,2.027524948120117,0.7122131199631134,5.974236488342285
temporal,dropout,0.0,0.0,0.0,0.0,1.0,5.974236488342285
temporal,dropout,0.25,1.7390193939208984,1.639669418334961,3.3786888122558594,0.5680514982105416,5.974236488342285
temporal,dropout,0.5,4.265937805175781,2.5601367950439453,6.826074600219727,0.31899327172759634,5.974236488342285
temporal,dropout,0.75,4.896177291870117,2.1974716186523438,7.093648910522461,0.3050214116396338,5.974236488342285
temporal,dropout,1.0,9.877277374267578,2.1874704360961914,12.06474781036377,0.13272675865402567,5.974236488342285
temporal,occlusion,0.0,0.0,0.0,0.0,1.0,5.974236488342285
temporal,occlusion,0.25,1.8597087860107422,1.211935043334961,3.071643829345703,0.5980096731119537,5.974236488342285
temporal,occlusion,0.5,3.366260528564453,1.7561378479003906,5.122398376464844,0.4242574851302255,5.974236488342285
temporal,occlusion,0.75,8.930959701538086,2.9042530059814453,11.835212707519531,0.13792546011288842,5.974236488342285
temporal,occlusion,1.0,10.633825302124023,3.8114757537841797,14.445301055908203,0.08910564580535489,5.974236488342285
optim,clean,0.0,0.0,0.0,0.0,1.0,6.5219316482543945
optim,clean,0.25,0.0,0.0,0.0,1.0,6.5219316482543945
optim,clean,0.5,0.0,0.0,0.0,1.0,6.5219316482543945
optim,clean,0.75,0.0,0.0,0.0,1.0,6.5219316482543945
optim,clean,1.0,0.0,0.0,0.0,1.0,6.5219316482543945
optim,noise,0.0,0.0,0.0,0.0,1.0,6.5219316482543945
optim,noise,0.25,5.720493316650391,1.5617694854736328,7.282262802124023,0.32739736286136556,6.5219316482543945
optim,noise,0.5,8.35154914855957,2.109893798828125,10.461442947387695,0.20108238721016689,6.5219316482543945
optim,noise,0.75,11.390174865722656,2.6520538330078125,14.042228698730469,0.11612615029542181,6.5219316482543945
optim,noise,1.0,11.928125381469727,3.0206856727600098,14.948811054229736,0.10105570622631117,6.5219316482543945
optim,blur,0.0,0.0,0.0,0.0,1.0,6.5219316482543945
optim,blur,0.25,0.28333091735839844,0.4347381591796875,0.7180690765380859,0.8957439517674166,6.5219316482543945
optim,blur,0.5,0.49701881408691406,1.014486312866211,1.511505126953125,0.7931386120317487,6.5219316482543945
optim,blur,0.75,0.880950927734375,1.2365150451660156,2.1174659729003906,0.7227668881623649,6.5219316482543945
optim,blur,1.0,1.4554290771484375,1.1375665664672852,2.5929956436157227,0.6719435607237458,6.5219316482543945
optim,dropout,0.0,0.0,0.0,0.0,1.0,6.5219316482543945
optim,dropout,0.25,2.6438846588134766,1.8928565979003906,4.536741256713867,0.4987685466112948,6.5219316482543945
optim,dropout,0.5,3.0403060913085938,1.40374755859375,4.444053649902344,0.5059074937466514,6.5219316482543945
optim,dropout,0.75,4.602006912231445,2.5867385864257812,7.188745498657227,0.3321256983343083,6.5219316482543945
optim,dropout,1.0,19.860761642456055,2.4043798446655273,22.265141487121582,0.032912999243982846,6.5219316482543945
optim,occlusion,0.0,0.0,0.0,0.0,1.0,6.5219316482543945
optim,occlusion,0.25,1.275336742401123,1.1765499114990234,2.4518866539001465,0.6866401961321228,6.5219316482543945
optim,occlusion,0.5,3.6054420471191406,2.249675750732422,5.8551177978515625,0.40748211871394563,6.5219316482543945
optim,occlusion,0.75,12.052997589111328,2.664407730102539,14.717405319213867,0.10470564966324765,6.5219316482543945
optim,occlusion,1.0,22.96078109741211,5.460149765014648,28.420930862426758,0.012807204337970625,6.5219316482543945
