encoder,op,level,accuracy,max_severity,mean_severity,violation_rate
sparse,clean,0.5,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
sparse,clean,0.75,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
sparse,clean,1.0,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
sparse,noise,0.0,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
sparse,noise,0.25,0.31,2.2600094479529683e-07,2.6958684140652003e-08,0.43
sparse,noise,0.5,0.293,2.2600094479529683e-07,2.6136636747587422e-08,0.414
sparse,noise,0.75,0.267,2.2600094479529683e-07,2.5928020490924476e-08,0.415
sparse,noise,1.0,0.279,2.2600094479529683e-07,2.625832956451384e-08,0.428
sparse,blur,0.0,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
sparse,blur,0.25,0.305,2.880891164321895e-07,2.6836991322800403e-08,0.391
sparse,blur,0.5,0.309,2.2600094479529683e-07,2.616147201568707e-08,0.399
sparse,blur,0.75,0.315,2.880891164321895e-07,2.8046468907471304e-08,0.423
sparse,blur,1.0,0.328,2.2600094479529683e-07,2.576907477046081e-08,0.386
sparse,dropout,0.0,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
sparse,dropout,0.25,0.307,2.2600094479529683e-07,2.478559813243557e-08,0.405
sparse,dropout,0.5,0.308,2.2600094479529683e-07,2.803653480023145e-08,0.429
sparse,dropout,0.75,0.287,2.2600094479529683e-07,2.409269413626471e-08,0.386
sparse,dropout,1.0,0.296,2.2600094479529683e-07,2.603481214606591e-08,0.413
sparse,occlusion,0.0,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
sparse,occlusion,0.25,0.308,2.2600094479529683e-07,2.7952094886842286e-08,0.43
sparse,occlusion,0.5,0.289,2.2600094479529683e-07,2.7028222892256195e-08,0.413
sparse,occlusion,0.75,0.309,2.2600094479529683e-07,2.8098622971868343e-08,0.429
sparse,occlusion,1.0,0.278,1.6391277315840412e-07,2.6193757865604388e-08,0.417
temporal,clean,0.0,0.304,0.49999999999998745,0.0037500200495123033,0.4
temporal,clean,0.25,0.304,0.49999999999998745,0.0037500200495123033,0.4
temporal,clean,0.5,0.304,0.49999999999998745,0.0037500200495123033,0.4
temporal,clean,0.75,0.304,0.49999999999998745,0.0037500200495123033,0.4
temporal,clean,1.0,0.304,0.49999999999998745,0.0037500200495123033,0.4
temporal,noise,0.0,0.304,0.49999999999998745,0.0037500200495123033,0.4
temporal,noise,0.25,0.315,2.880891164321895e-07,2.783040206991587e-08,0.416
temporal,noise,0.5,0.312,2.2600094479529683e-07,2.671033145317925e-08,0.405
temporal,noise,0.75,0.303,2.2600094479529683e-07,2.745787303916933e-08,0.391
temporal,noise,1.0,0.278,0.0999999999999975,0.0008500273287296219,0.438
temporal,blur,0.0,0.304,0.49999999999998745,0.0037500200495123033,0.4
temporal,blur,0.25,0.303,0.12499999999999686,0.00040002727160851515,0.421
temporal,blur,0.5,0.311,0.12499999999999686,0.00017502566725016456,0.387
temporal,blur,0.75,0.317,0.07499999999999812,0.00010002928574881045,0.414
temporal,blur,1.0,0.311,2.2600094479529683e-07,2.6489297562003878e-08,0.401
temporal,dropout,0.0,0.304,0.49999999999998745,0.0037500200495123033,0.4
temporal,dropout,0.25,0.313,0.0999999999999975,0.0015000254313150797,0.44
temporal,dropout,0.5,0.313,0.07499999999999812,0.0011500249743461438,0.406
temporal,dropout,0.75,0.313,0.04999999999999875,0.0009000251059730753,0.433
temporal,dropout,1.0,0.3,0.07499999999999812,0.001375024475157239,0.429
temporal,occlusion,0.0,0.304,0.49999999999998745,0.0037500200495123033,0.4
temporal,occlusion,0.25,0.3,0.49999999999998745,0.003075025540590222,0.428
temporal,occlusion,0.5,0.282,0.49999999999998745,0.0035500239039460055,0.439
temporal,occlusion,0.75,0.288,0.49999999999998745,0.0021500260894496827,0.458
temporal,occlusion,1.0,0.302,5.3999999999998645,0.007700026859342873,0.478
optim,clean,0.0,0.3,0.49999999999998745,0.00375002518792939,0.459
optim,clean,0.25,0.3,0.49999999999998745,0.00375002518792939,0.459
optim,clean,0.5,0.3,0.49999999999998745,0.00375002518792939,0.459
optim,clean,0.75,0.3,0.49999999999998745,0.00375002518792939,0.459
optim,clean,1.0,0.3,0.49999999999998745,0.00375002518792939,0.459
optim,noise,0.0,0.3,0.49999999999998745,0.00375002518792939,0.459
optim,noise,0.25,0.301,2.2600094479529683e-07,2.8332074497556125e-08,0.438
optim,noise,0.5,0.286,2.2600094479529683e-07,2.6844441903692887e-08,0.399
optim,noise,0.75,0.301,0.07499999999999812,0.0002500237350662611,0.385
optim,noise,1.0,0.295,0.07499999999999812,0.0007500244975089963,0.4
optim,blur,0.0,0.3,0.49999999999998745,0.00375002518792939,0.459
optim,blur,0.25,0.301,0.12499999999999686,0.0004000278428196944,0.426
optim,blur,0.5,0.314,0.12499999999999686,0.00017502744793892753,0.399
optim,blur,0.75,0.316,0.07499999999999812,0.00010002649923166674,0.397
optim,blur,1.0,0.316,2.2600094479529683e-07,2.5783975932245785e-08,0.402
