benchmark,encoder,op,level,accuracy,n_test,correct_approx,accuracy_CI95_low,accuracy_CI95_high,CI_method
emnist_letters,optim,occlusion,1.0,0.108,2000,216,0.0951,0.1224,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,clean,0.0,0.3,800,240,0.2693,0.3326,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,clean,0.25,0.3,800,240,0.2693,0.3326,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,clean,0.5,0.3,800,240,0.2693,0.3326,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,clean,0.75,0.3,800,240,0.2693,0.3326,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,clean,1.0,0.3,800,240,0.2693,0.3326,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,noise,0.0,0.3,800,240,0.2693,0.3326,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,noise,0.25,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,noise,0.5,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,noise,0.75,0.3212,800,257,0.2898,0.3544,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,noise,1.0,0.2888,800,231,0.2584,0.3211,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,blur,0.0,0.3,800,240,0.2693,0.3326,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,blur,0.25,0.3038,800,243,0.2729,0.3365,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,blur,0.5,0.2988,800,239,0.2681,0.3314,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,blur,0.75,0.29,800,232,0.2596,0.3224,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,blur,1.0,0.2862,800,229,0.256,0.3185,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,dropout,0.0,0.3,800,240,0.2693,0.3326,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,dropout,0.25,0.295,800,236,0.2644,0.3275,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,dropout,0.5,0.3075,800,246,0.2765,0.3403,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,dropout,0.75,0.3025,800,242,0.2717,0.3352,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,dropout,1.0,0.3025,800,242,0.2717,0.3352,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,occlusion,0.0,0.3,800,240,0.2693,0.3326,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,occlusion,0.25,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,occlusion,0.5,0.2975,800,238,0.2668,0.3301,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,occlusion,0.75,0.3038,800,243,0.2729,0.3365,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,rate,occlusion,1.0,0.2712,800,217,0.2416,0.3031,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,clean,0.0,0.3238,800,259,0.2922,0.3569,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,clean,0.25,0.3238,800,259,0.2922,0.3569,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,clean,0.5,0.3238,800,259,0.2922,0.3569,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,clean,0.75,0.3238,800,259,0.2922,0.3569,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,clean,1.0,0.3238,800,259,0.2922,0.3569,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,noise,0.0,0.3238,800,259,0.2922,0.3569,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,noise,0.25,0.3212,800,257,0.2898,0.3544,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,noise,0.5,0.2975,800,238,0.2668,0.3301,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,noise,0.75,0.2825,800,226,0.2524,0.3147,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,noise,1.0,0.255,800,204,0.226,0.2863,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,blur,0.0,0.3238,800,259,0.2922,0.3569,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,blur,0.25,0.3262,800,261,0.2947,0.3595,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,blur,0.5,0.32,800,256,0.2886,0.3531,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,blur,0.75,0.3162,800,253,0.285,0.3493,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,blur,1.0,0.3125,800,250,0.2813,0.3455,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,dropout,0.0,0.3238,800,259,0.2922,0.3569,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,dropout,0.25,0.31,800,248,0.2789,0.3429,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,dropout,0.5,0.325,800,260,0.2934,0.3582,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,dropout,0.75,0.3188,800,255,0.2874,0.3518,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,dropout,1.0,0.33,800,264,0.2983,0.3633,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,occlusion,0.0,0.3238,800,259,0.2922,0.3569,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,occlusion,0.25,0.3175,800,254,0.2862,0.3506,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,occlusion,0.5,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,occlusion,0.75,0.31,800,248,0.2789,0.3429,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,sparse,occlusion,1.0,0.2888,800,231,0.2584,0.3211,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,clean,0.0,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,clean,0.25,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,clean,0.5,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,clean,0.75,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,clean,1.0,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,noise,0.0,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,noise,0.25,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,noise,0.5,0.315,800,252,0.2838,0.348,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,noise,0.75,0.3088,800,247,0.2777,0.3416,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,noise,1.0,0.3088,800,247,0.2777,0.3416,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,blur,0.0,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,blur,0.25,0.2988,800,239,0.2681,0.3314,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,blur,0.5,0.2888,800,231,0.2584,0.3211,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,blur,0.75,0.285,800,228,0.2548,0.3173,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,blur,1.0,0.2825,800,226,0.2524,0.3147,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,dropout,0.0,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,dropout,0.25,0.3025,800,242,0.2717,0.3352,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,dropout,0.5,0.3125,800,250,0.2813,0.3455,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,dropout,0.75,0.3088,800,247,0.2777,0.3416,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,dropout,1.0,0.3038,800,243,0.2729,0.3365,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,occlusion,0.0,0.2962,800,237,0.2656,0.3288,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,occlusion,0.25,0.2938,800,235,0.2632,0.3262,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,occlusion,0.5,0.295,800,236,0.2644,0.3275,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,occlusion,0.75,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,temporal,occlusion,1.0,0.2862,800,229,0.256,0.3185,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,clean,0.0,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,clean,0.25,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,clean,0.5,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,clean,0.75,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,clean,1.0,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,noise,0.0,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,noise,0.25,0.2912,800,233,0.2608,0.3237,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,noise,0.5,0.3062,800,245,0.2753,0.3391,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,noise,0.75,0.3062,800,245,0.2753,0.3391,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,noise,1.0,0.305,800,244,0.2741,0.3378,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,blur,0.0,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,blur,0.25,0.3038,800,243,0.2729,0.3365,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,blur,0.5,0.2988,800,239,0.2681,0.3314,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,blur,0.75,0.2888,800,231,0.2584,0.3211,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,blur,1.0,0.2862,800,229,0.256,0.3185,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,dropout,0.0,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,dropout,0.25,0.2925,800,234,0.262,0.325,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,dropout,0.5,0.3113,800,249,0.2801,0.3442,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,dropout,0.75,0.3075,800,246,0.2765,0.3403,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,dropout,1.0,0.3175,800,254,0.2862,0.3506,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,occlusion,0.0,0.3012,800,241,0.2705,0.3339,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,occlusion,0.25,0.3113,800,249,0.2801,0.3442,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,occlusion,0.5,0.3113,800,249,0.2801,0.3442,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,occlusion,0.75,0.2875,800,230,0.2572,0.3198,Wilson binomial CI based on reported accuracy and test-set size
coco_4cls,optim,occlusion,1.0,0.2738,800,219,0.244,0.3057,Wilson binomial CI based on reported accuracy and test-set size
