encoder,op,level,accuracy,max_severity,mean_severity,violation_rate
temporal,noise,0.5,0.6953333333333334,2.880891164321895e-07,2.7887523188241232e-08,0.42733333333333334
temporal,noise,0.75,0.48966666666666664,0.04999999999999875,6.669340514475628e-05,0.41533333333333333
temporal,noise,1.0,0.31366666666666665,0.12499999999999686,0.0009583615867627891,0.44766666666666666
temporal,blur,0.0,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
temporal,blur,0.25,0.7926666666666666,0.1749999999999956,0.000350026544762987,0.4206666666666667
temporal,blur,0.5,0.788,0.22499999999999437,0.00013335949314966146,0.4106666666666667
temporal,blur,0.75,0.787,0.04999999999999875,1.6691990362285896e-05,0.397
temporal,blur,1.0,0.7836666666666666,0.024999999999999373,1.6692894366065692e-05,0.418
temporal,dropout,0.0,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
temporal,dropout,0.25,0.7606666666666667,5.3999999999998645,0.016725026070408943,0.44133333333333336
temporal,dropout,0.5,0.6963333333333334,5.3999999999998645,0.016741692985428297,0.42633333333333334
temporal,dropout,0.75,0.6133333333333333,5.3999999999998645,0.04195836055113105,0.448
temporal,dropout,1.0,0.503,5.3999999999998645,0.14306669393909946,0.46166666666666667
temporal,occlusion,0.0,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
temporal,occlusion,0.25,0.7783333333333333,5.3999999999998645,0.017125025866759732,0.42633333333333334
temporal,occlusion,0.5,0.6263333333333333,5.3999999999998645,0.06779169207148913,0.43566666666666665
temporal,occlusion,0.75,0.37666666666666665,5.3999999999998645,0.38297502466472355,0.4736666666666667
temporal,occlusion,1.0,0.12966666666666668,5.3999999999998645,1.8720333508893376,0.6476666666666666
optim,clean,0.0,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
optim,clean,0.25,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
optim,clean,0.5,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
optim,clean,0.75,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
optim,clean,1.0,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
optim,noise,0.0,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
optim,noise,0.25,0.7726666666666666,2.2600094479529683e-07,2.7010838204740642e-08,0.42766666666666664
optim,noise,0.5,0.662,2.2600094479529683e-07,2.6126702640039175e-08,0.4116666666666667
optim,noise,0.75,0.45366666666666666,0.04999999999999875,0.00010002595368359894,0.407
optim,noise,1.0,0.2846666666666667,0.0999999999999975,0.0010833583068516378,0.42533333333333334
optim,blur,0.0,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
optim,blur,0.25,0.8023333333333333,0.1749999999999956,0.00034169320480691536,0.416
optim,blur,0.5,0.8016666666666666,0.22499999999999437,0.00013335994929076226,0.406
optim,blur,0.75,0.8,0.04999999999999875,1.6694385310027712e-05,0.42966666666666664
optim,blur,1.0,0.7966666666666666,0.024999999999999373,1.6694460643675978e-05,0.43033333333333335
optim,dropout,0.0,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
optim,dropout,0.25,0.783,0.07499999999999812,0.00037502522683806295,0.42233333333333334
optim,dropout,0.5,0.7536666666666667,0.04999999999999875,0.00035836044351260333,0.43166666666666664
optim,dropout,0.75,0.693,0.07499999999999812,0.000491693212257492,0.41833333333333333
optim,dropout,1.0,0.5873333333333334,0.04999999999999875,0.0003250274835361428,0.42533333333333334
optim,occlusion,0.0,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
optim,occlusion,0.25,0.7876666666666666,0.12499999999999686,0.0008166922875576477,0.426
optim,occlusion,0.5,0.636,0.199999999999995,0.0008833593350317653,0.41933333333333334
optim,occlusion,0.75,0.38166666666666665,0.12499999999999686,0.0006583595593770315,0.42733333333333334
optim,occlusion,1.0,0.14366666666666666,0.1749999999999956,0.00022502877828148486,0.42766666666666664
